steps_train,loss_train
0,2.3094894886016846
100,0.5145511031150818
200,0.3324471712112427
300,0.17241226136684418
400,0.33559057116508484
500,0.1203271895647049
600,0.1993851363658905
700,0.06691721826791763
800,0.12939061224460602
900,0.056731775403022766
1000,0.07671479880809784
1100,0.07547047734260559
1200,0.052271611988544464
1300,0.08458396047353745
1400,0.045131172984838486
1500,0.07405025511980057
1600,0.0594438761472702
1700,0.08172834664583206
1800,0.05886240676045418
1900,0.13455776870250702
2000,0.060859810560941696
2100,0.1582602858543396
2200,0.03676699846982956
2300,0.0951288640499115
2400,0.015576743520796299
2500,0.044591136276721954
2600,0.10282697528600693
2700,0.02389863133430481
2800,0.0292896069586277
